ra,ano_pesquisa,fase,turma,genero,idade,ano_ingresso,instituicao_ensino,pedra,inde,iaa,ieg,ips,ipp,ida,ipv,ian,nota_mat,nota_por,nota_ing,indicado_bolsa,atingiu_pv,fase_ideal,defasagem,rec_psicologia,cg,cf,ct,n_avaliacoes,destaque_ieg,destaque_ida,destaque_ipv,fase_norm,fase_ord,pedra_ord
RA-1,2022,7,A,Feminino,19.0,2016,Escola Pública,Quartzo,5.783,8.3,4.1,5.6,,4.0,7.278,5.0,2.7,3.5,6.0,True,False,Fase 8 (Universitários),-1,Requer avaliação,753.0,18.0,10.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,1.0
RA-2,2022,7,A,Feminino,17.0,2017,Rede Decisão,Ametista,7.055,8.8,5.2,6.3,,6.8,6.778,10.0,6.3,4.5,9.7,False,False,Fase 7 (3º EM),0,Sem limitações,469.0,8.0,3.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,3.0
RA-3,2022,7,A,Feminino,17.0,2016,Rede Decisão,Ágata,6.591,0.0,7.9,5.6,,5.6,7.556,10.0,5.8,4.0,6.9,False,False,Fase 7 (3º EM),0,Sem limitações,629.0,13.0,6.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7,7.0,2.0
RA-4,2022,7,A,Masculino,17.0,2017,Rede Decisão,Quartzo,5.951,8.8,4.5,5.6,,5.0,5.278,10.0,2.8,3.5,8.7,False,False,Fase 7 (3º EM),0,Requer avaliação,731.0,15.0,7.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,1.0
RA-5,2022,7,A,Feminino,17.0,2016,Rede Decisão,Ametista,7.427,7.9,8.6,5.6,,5.2,7.389,10.0,7.0,2.9,5.7,False,False,Fase 7 (3º EM),0,Requer avaliação,344.0,6.0,2.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,3.0
RA-6,2022,7,A,Feminino,18.0,2021,Escola Pública,Quartzo,5.848,7.9,4.5,7.5,,3.3,7.222,5.0,2.3,5.3,2.3,True,False,Fase 8 (Universitários),-1,Sem limitações,745.0,16.0,8.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,1.0
RA-7,2022,7,A,Masculino,18.0,2017,Rede Decisão,Ágata,6.818,0.0,8.4,7.5,,7.6,7.667,5.0,8.2,5.7,9.0,False,False,Fase 8 (Universitários),-1,Sem limitações,550.0,11.0,5.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7,7.0,2.0
RA-8,2022,7,A,Feminino,20.0,2018,Escola Pública,Quartzo,4.786,7.1,4.6,6.3,,1.6,6.278,5.0,1.2,0.7,2.9,False,False,Fase 8 (Universitários),-1,Requer avaliação,836.0,21.0,13.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,1.0
RA-9,2022,7,A,Feminino,18.0,2019,Escola Pública,Topázio,8.109,8.8,9.5,7.5,,6.7,9.5,5.0,5.5,6.0,8.7,True,True,Fase 8 (Universitários),-1,Sem limitações,113.0,1.0,1.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7,7.0,4.0
RA-10,2022,7,A,Feminino,18.0,2021,Escola Pública,Quartzo,5.784,8.3,5.2,5.0,,4.1,7.056,5.0,3.3,2.6,6.4,False,False,Fase 8 (Universitários),-1,Requer avaliação,752.0,17.0,9.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,1.0
RA-11,2022,7,A,Feminino,18.0,2016,Escola Pública,Quartzo,5.323,9.2,4.2,5.0,,3.0,6.389,5.0,1.8,2.5,4.5,False,False,Fase 8 (Universitários),-1,Requer avaliação,799.0,19.0,11.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,1.0
RA-12,2022,7,A,Feminino,17.0,2020,Escola Pública,Quartzo,4.832,0.0,4.0,6.9,,1.5,6.389,10.0,2.7,1.1,0.7,True,False,Fase 7 (3º EM),0,Sem limitações,834.0,20.0,12.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,1.0
RA-13,2022,7,A,Masculino,18.0,2016,Escola Pública,Ágata,6.902,7.9,7.4,7.5,,4.7,8.056,5.0,3.5,5.5,5.2,True,False,Fase 8 (Universitários),-1,Sem limitações,524.0,10.0,4.0,4.0,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7,7.0,2.0
RA-14,2022,7,D,Masculino,21.0,2022,Escola Pública,Ágata,6.793,7.9,8.3,7.5,,4.0,7.75,5.0,8.0,0.0,,True,False,Fase 8 (Universitários),-1,Não atendido,558.0,12.0,7.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7,7.0,2.0
RA-15,2022,7,D,Masculino,18.0,2022,Escola Pública,Ametista,7.783,8.8,10.0,7.5,,7.3,7.292,5.0,8.0,6.5,,True,False,Fase 8 (Universitários),-1,Não atendido,207.0,3.0,2.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,3.0
RA-16,2022,7,D,Masculino,19.0,2022,Escola Pública,Ágata,6.112,7.9,8.3,5.0,,3.5,6.333,5.0,7.0,0.0,,True,False,Fase 8 (Universitários),-1,Requer avaliação,706.0,14.0,8.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,2.0
RA-17,2022,7,D,Masculino,20.0,2022,Escola Pública,Topázio,8.068,8.8,10.0,7.5,,7.8,8.292,5.0,9.0,6.5,,True,False,Fase 8 (Universitários),-1,Não atendido,125.0,2.0,1.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7,7.0,4.0
RA-18,2022,7,D,Masculino,19.0,2022,Escola Pública,Ametista,7.226,6.3,8.7,6.3,,9.0,6.875,5.0,9.0,9.0,,True,False,Fase 8 (Universitários),-1,Requer avaliação,418.0,7.0,5.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,3.0
RA-19,2022,7,D,Feminino,19.0,2022,Escola Pública,Ametista,7.665,7.9,9.5,7.5,,8.0,7.0,5.0,7.0,9.0,,True,False,Fase 8 (Universitários),-1,Sem limitações,248.0,4.0,3.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,3.0
RA-20,2022,7,D,Feminino,19.0,2022,Escola Pública,Ametista,7.535,7.1,10.0,6.3,,7.8,7.167,5.0,9.0,6.5,,True,False,Fase 8 (Universitários),-1,Não atendido,296.0,5.0,4.0,4.0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,3.0
RA-21,2022,7,D,Masculino,18.0,2022,Escola Pública,Ágata,6.945,9.6,9.2,7.5,,3.8,7.25,5.0,7.0,0.5,,True,False,Fase 8 (Universitários),-1,Não atendido,508.0,9.0,6.0,4.0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7,7.0,2.0
